n_factors,_lambda,rmse,train_recall,test_recall,recall_at_200,ratio,mrr @ 5,ndcg @ 5,mrr @ 10,ndcg @ 10
100,1e-05,7.19646600355e-05,1.0,nan,0.0,1.0,0.0,nan,0.0,nan
200,1e-05,0.000151787526908,1.0,nan,0.0,1.0,0.0,nan,0.0,nan
300,1e-05,0.000231183901666,1.0,nan,0.0,1.0,0.0,nan,0.0,nan
400,1e-05,0.000302043009644,1.0,nan,0.0,1.0,0.0,nan,0.0,nan
500,1e-05,0.000371742449039,1.0,nan,0.0,1.0,0.0,nan,0.0,nan
100,0.01,0.0102677783924,1.0,nan,0.0,1.0,0.0,nan,0.0,nan
200,0.01,0.0115967361991,1.0,nan,0.0,1.0,0.0,nan,0.0,nan
300,0.01,0.0127003477879,1.0,nan,0.0,1.0,0.0,nan,0.0,nan
400,0.01,0.0133525939751,1.0,nan,0.0,1.0,0.0,nan,0.0,nan
500,0.01,0.0139480393666,1.0,nan,0.0,1.0,0.0,nan,0.0,nan
100,0.1,0.0224442914925,1.0,nan,0.0,1.0,0.0,nan,0.0,nan
200,0.1,0.0233453888949,1.0,nan,0.0,1.0,0.0,nan,0.0,nan
300,0.1,0.0235268763949,1.0,nan,0.0,1.0,0.0,nan,0.0,nan
400,0.1,0.0235192011794,1.0,nan,0.0,1.0,0.0,nan,0.0,nan
500,0.1,0.0234583598469,1.0,nan,0.0,1.0,0.0,nan,0.0,nan
100,0.5,0.0968253317144,1.0,nan,0.0,1.0,0.0,nan,0.0,nan
200,0.5,0.0968255989244,1.0,nan,0.0,1.0,0.0,nan,0.0,nan
300,0.5,0.096825468386,1.0,nan,0.0,1.0,0.0,nan,0.0,nan
400,0.5,0.0968253220525,1.0,nan,0.0,1.0,0.0,nan,0.0,nan
500,0.5,0.0968252972013,1.0,nan,0.0,1.0,0.0,nan,0.0,nan
100,10,0.580947501931,0.0,nan,0.0,0.0,0.0,nan,0.0,nan
200,10,0.580947501931,0.0,nan,0.0,0.0,0.0,nan,0.0,nan
300,10,0.580947501931,0.0,nan,0.0,0.0,0.0,nan,0.0,nan
400,10,0.580947501931,0.0,nan,0.0,0.0,0.0,nan,0.0,nan
500,10,0.580947501931,0.0,nan,0.0,0.0,0.0,nan,0.0,nan
n_factors,_lambda,rmse,train_recall,test_recall,recall_at_200,ratio,mrr @ 5,ndcg @ 5,mrr @ 10,ndcg @ 10
10,0.0001,0.487350280991,1.0,0.0,0.0,0.296296296296,0.0,0.0,0.0,0.0
20,0.0001,0.487366389572,1.0,0.0,0.0,0.296296296296,0.0,0.0,0.0,0.0
10,0.1,0.488236622911,1.0,0.0,0.0,0.296296296296,0.0,0.0,0.0,0.0
20,0.1,0.488236623132,1.0,0.0,0.0,0.296296296296,0.0,0.0,0.0,0.0
n_factors,_lambda,rmse,train_recall,test_recall,recall_at_200,ratio,mrr @ 5,ndcg @ 5,mrr @ 10,ndcg @ 10
10,0.0001,0.487350137657,1.0,0.0,0.0,0.296296296296,0.0,0.0,0.0,0.0
20,0.0001,0.487365792352,1.0,0.0,0.0,0.296296296296,0.0,0.0,0.0,0.0
10,0.1,0.48823662296,1.0,0.0,0.0,0.296296296296,0.0,0.0,0.0,0.0
20,0.1,0.488236622961,1.0,0.0,0.0,0.296296296296,0.0,0.0,0.0,0.0
n_factors,_lambda,rmse,train_recall,test_recall,recall_at_200,ratio,mrr @ 5,ndcg @ 5,mrr @ 10,ndcg @ 10
10,0.0001,0.487349997804,1.0,0.0,0.0,0.296296296296,0.0,0.0,0.0,0.0
20,0.0001,0.487365220739,1.0,0.0,0.0,0.296296296296,0.0,0.0,0.0,0.0
10,0.1,0.488236622961,1.0,0.0,0.0,0.296296296296,0.0,0.0,0.0,0.0
20,0.1,0.488236622961,1.0,0.0,0.0,0.296296296296,0.0,0.0,0.0,0.0
n_factors,_lambda,rmse,train_recall,test_recall,recall_at_200,ratio,mrr @ 5,ndcg @ 5,mrr @ 10,ndcg @ 10
10,0.0001,0.487349861304,1.0,0.0,0.0,0.296296296296,0.0,0.0,0.0,0.0
20,0.0001,0.487364673072,1.0,0.0,0.0,0.296296296296,0.0,0.0,0.0,0.0
10,0.1,0.488236622961,1.0,0.0,0.0,0.296296296296,0.0,0.0,0.0,0.0
20,0.1,0.488236622961,1.0,0.0,0.0,0.296296296296,0.0,0.0,0.0,0.0
n_factors,_lambda,rmse,train_recall,test_recall,recall_at_200,ratio,mrr @ 5,ndcg @ 5,mrr @ 10,ndcg @ 10
10,0.0001,0.48734972804,1.0,0.0,0.0,0.296296296296,0.0,0.0,0.0,0.0
20,0.0001,0.48736414783,1.0,0.0,0.0,0.296296296296,0.0,0.0,0.0,0.0
10,0.1,0.488236622961,1.0,0.0,0.0,0.296296296296,0.0,0.0,0.0,0.0
20,0.1,0.488236622961,1.0,0.0,0.0,0.296296296296,0.0,0.0,0.0,0.0
n_factors,_lambda,rmse,train_recall,test_recall,recall_at_200,ratio,mrr @ 5,ndcg @ 5,mrr @ 10,ndcg @ 10
10,0.0001,0.487349597895,1.0,0.0,0.0,0.296296296296,0.0,0.0,0.0,0.0
20,0.0001,0.48736364362,1.0,0.0,0.0,0.296296296296,0.0,0.0,0.0,0.0
10,0.1,0.488236622961,1.0,0.0,0.0,0.296296296296,0.0,0.0,0.0,0.0
20,0.1,0.488236622961,1.0,0.0,0.0,0.296296296296,0.0,0.0,0.0,0.0
n_factors,_lambda,rmse,train_recall,test_recall,recall_at_200,ratio,mrr @ 5,ndcg @ 5,mrr @ 10,ndcg @ 10
10,0.0001,0.487349470762,1.0,0.0,0.0,0.296296296296,0.0,0.0,0.0,0.0
20,0.0001,0.487363159164,1.0,0.0,0.0,0.296296296296,0.0,0.0,0.0,0.0
10,0.1,0.488236622961,1.0,0.0,0.0,0.296296296296,0.0,0.0,0.0,0.0
20,0.1,0.488236622961,1.0,0.0,0.0,0.296296296296,0.0,0.0,0.0,0.0
n_factors,_lambda,rmse,train_recall,test_recall,recall_at_200,ratio,mrr @ 5,ndcg @ 5,mrr @ 10,ndcg @ 10
10,0.0001,0.487349346537,1.0,0.0,0.0,0.296296296296,0.0,0.0,0.0,0.0
20,0.0001,0.487362693286,1.0,0.0,0.0,0.296296296296,0.0,0.0,0.0,0.0
10,0.1,0.488236622961,1.0,0.0,0.0,0.296296296296,0.0,0.0,0.0,0.0
20,0.1,0.488236622961,1.0,0.0,0.0,0.296296296296,0.0,0.0,0.0,0.0
n_factors,_lambda,rmse,train_recall,test_recall,recall_at_200,ratio,mrr @ 5,ndcg @ 5,mrr @ 10,ndcg @ 10
10,0.0001,0.487349225119,1.0,0.0,0.0,0.296296296296,0.0,0.0,0.0,0.0
20,0.0001,0.487362244902,1.0,0.0,0.0,0.296296296296,0.0,0.0,0.0,0.0
10,0.1,0.488236622961,1.0,0.0,0.0,0.296296296296,0.0,0.0,0.0,0.0
20,0.1,0.488236622961,1.0,0.0,0.0,0.296296296296,0.0,0.0,0.0,0.0
n_factors,_lambda,rmse,train_recall,test_recall,recall_at_200,ratio,mrr @ 5,ndcg @ 5,mrr @ 10,ndcg @ 10
10,0.0001,0.487349106415,1.0,0.0,0.0,0.296296296296,0.0,0.0,0.0,0.0
20,0.0001,0.487361813012,1.0,0.0,0.0,0.296296296296,0.0,0.0,0.0,0.0
10,0.1,0.488236622961,1.0,0.0,0.0,0.296296296296,0.0,0.0,0.0,0.0
20,0.1,0.488236622961,1.0,0.0,0.0,0.296296296296,0.0,0.0,0.0,0.0
n_factors,_lambda,rmse,train_recall,test_recall,recall_at_200,ratio,mrr @ 5,ndcg @ 5,mrr @ 10,ndcg @ 10
10,0.0001,0.487348990333,1.0,0.0,0.0,0.296296296296,0.0,0.0,0.0,0.0
20,0.0001,0.487361396692,1.0,0.0,0.0,0.296296296296,0.0,0.0,0.0,0.0
10,0.1,0.488236622961,1.0,0.0,0.0,0.296296296296,0.0,0.0,0.0,0.0
20,0.1,0.488236622961,1.0,0.0,0.0,0.296296296296,0.0,0.0,0.0,0.0
n_factors,_lambda,rmse,train_recall,test_recall,recall_at_200,ratio,mrr @ 5,ndcg @ 5,mrr @ 10,ndcg @ 10
10,0.0001,0.487348876787,1.0,0.0,0.0,0.296296296296,0.0,0.0,0.0,0.0
20,0.0001,0.487360995086,1.0,0.0,0.0,0.296296296296,0.0,0.0,0.0,0.0
10,0.1,0.488236622961,1.0,0.0,0.0,0.296296296296,0.0,0.0,0.0,0.0
20,0.1,0.488236622961,1.0,0.0,0.0,0.296296296296,0.0,0.0,0.0,0.0
n_factors,_lambda,rmse,train_recall,test_recall,recall_at_200,ratio,mrr @ 5,ndcg @ 5,mrr @ 10,ndcg @ 10
10,0.0001,0.487348765694,1.0,0.0,0.0,0.296296296296,0.0,0.0,0.0,0.0
20,0.0001,0.487360607401,1.0,0.0,0.0,0.296296296296,0.0,0.0,0.0,0.0
10,0.1,0.488236622961,1.0,0.0,0.0,0.296296296296,0.0,0.0,0.0,0.0
20,0.1,0.488236622961,1.0,0.0,0.0,0.296296296296,0.0,0.0,0.0,0.0
n_factors,_lambda,rmse,train_recall,test_recall,recall_at_200,ratio,mrr @ 5,ndcg @ 5,mrr @ 10,ndcg @ 10
10,0.0001,0.487348656974,1.0,0.0,0.0,0.296296296296,0.0,0.0,0.0,0.0
20,0.0001,0.487360232899,1.0,0.0,0.0,0.296296296296,0.0,0.0,0.0,0.0
10,0.1,0.488236622961,1.0,0.0,0.0,0.296296296296,0.0,0.0,0.0,0.0
20,0.1,0.488236622961,1.0,0.0,0.0,0.296296296296,0.0,0.0,0.0,0.0
n_factors,_lambda,rmse,train_recall,test_recall,recall_at_200,ratio,mrr @ 5,ndcg @ 5,mrr @ 10,ndcg @ 10
10,0.0001,0.487348550551,1.0,0.0,0.0,0.296296296296,0.0,0.0,0.0,0.0
20,0.0001,0.487359870896,1.0,0.0,0.0,0.296296296296,0.0,0.0,0.0,0.0
10,0.1,0.488236622961,1.0,0.0,0.0,0.296296296296,0.0,0.0,0.0,0.0
20,0.1,0.488236622961,1.0,0.0,0.0,0.296296296296,0.0,0.0,0.0,0.0
n_factors,_lambda,rmse,train_recall,test_recall,recall_at_200,ratio,mrr @ 5,ndcg @ 5,mrr @ 10,ndcg @ 10
100,1e-05,7.19646600355e-05,1.0,nan,0.0,1.0,0.0,nan,0.0,nan
200,1e-05,0.000151787526908,1.0,nan,0.0,1.0,0.0,nan,0.0,nan
300,1e-05,0.000231183901666,1.0,nan,0.0,1.0,0.0,nan,0.0,nan
400,1e-05,0.000302043009644,1.0,nan,0.0,1.0,0.0,nan,0.0,nan
500,1e-05,0.000371742449039,1.0,nan,0.0,1.0,0.0,nan,0.0,nan
100,0.01,0.0102677783924,1.0,nan,0.0,1.0,0.0,nan,0.0,nan
200,0.01,0.0115967361991,1.0,nan,0.0,1.0,0.0,nan,0.0,nan
300,0.01,0.0127003477879,1.0,nan,0.0,1.0,0.0,nan,0.0,nan
400,0.01,0.0133525939751,1.0,nan,0.0,1.0,0.0,nan,0.0,nan
500,0.01,0.0139480393666,1.0,nan,0.0,1.0,0.0,nan,0.0,nan
100,0.1,0.0224442914925,1.0,nan,0.0,1.0,0.0,nan,0.0,nan
200,0.1,0.0233453888949,1.0,nan,0.0,1.0,0.0,nan,0.0,nan
300,0.1,0.0235268763949,1.0,nan,0.0,1.0,0.0,nan,0.0,nan
400,0.1,0.0235192011794,1.0,nan,0.0,1.0,0.0,nan,0.0,nan
500,0.1,0.0234583598469,1.0,nan,0.0,1.0,0.0,nan,0.0,nan
100,0.5,0.0968253317144,1.0,nan,0.0,1.0,0.0,nan,0.0,nan
200,0.5,0.0968255989244,1.0,nan,0.0,1.0,0.0,nan,0.0,nan
300,0.5,0.096825468386,1.0,nan,0.0,1.0,0.0,nan,0.0,nan
400,0.5,0.0968253220525,1.0,nan,0.0,1.0,0.0,nan,0.0,nan
500,0.5,0.0968252972013,1.0,nan,0.0,1.0,0.0,nan,0.0,nan
100,10,0.580947501931,0.0,nan,0.0,0.0,0.0,nan,0.0,nan
200,10,0.580947501931,0.0,nan,0.0,0.0,0.0,nan,0.0,nan
300,10,0.580947501931,0.0,nan,0.0,0.0,0.0,nan,0.0,nan
400,10,0.580947501931,0.0,nan,0.0,0.0,0.0,nan,0.0,nan
500,10,0.580947501931,0.0,nan,0.0,0.0,0.0,nan,0.0,nan
n_factors,_lambda,rmse,train_recall,test_recall,recall_at_200,ratio,mrr @ 5,ndcg @ 5,mrr @ 10,ndcg @ 10
10,0.0001,0.487348446353,1.0,0.0,0.0,0.296296296296,0.0,0.0,0.0,0.0
20,0.0001,0.487359520755,1.0,0.0,0.0,0.296296296296,0.0,0.0,0.0,0.0
10,0.1,0.488236622961,1.0,0.0,0.0,0.296296296296,0.0,0.0,0.0,0.0
20,0.1,0.488236622961,1.0,0.0,0.0,0.296296296296,0.0,0.0,0.0,0.0
n_factors,_lambda,rmse,train_recall,test_recall,recall_at_200,ratio,mrr @ 5,ndcg @ 5,mrr @ 10,ndcg @ 10
10,0.0001,0.487348344309,1.0,0.0,0.0,0.296296296296,0.0,0.0,0.0,0.0
20,0.0001,0.48735918188,1.0,0.0,0.0,0.296296296296,0.0,0.0,0.0,0.0
10,0.1,0.488236622961,1.0,0.0,0.0,0.296296296296,0.0,0.0,0.0,0.0
20,0.1,0.488236622961,1.0,0.0,0.0,0.296296296296,0.0,0.0,0.0,0.0
